type,pos,lemma,freq,range
ent,,,1,1
entdeckt,,,1,1
entdeckten,,,1,1
entfachen,,,1,1
entfernung,,,1,1
entgeistert,,,1,1
entglaubung,,,1,1
entgrenzende,,,1,1
enthüllung,,,1,1
entkernung,,,1,1
entlassen,,,1,1
entlaubung,,,1,1
entlocken,,,1,1
entneh,,,1,1
entscheiden,,,1,1
entschieden,,,1,1
entsprechend,,,1,1
entsprungen,,,1,1
entstehen,,,1,1
entweder,,,2,1
entwickeln,,,1,1
entwicklung,,,1,1
entzückt,,,1,1
entzücktes,,,1,1
er,,,24,2
erblindung,,,1,1
erdachsengerade,,,1,1
erde,,,4,2
ereignisse,,,1,1
erfand,,,1,1
erfinderin,,,1,1
erhielten,,,1,1
erhängt,,,1,1
erika,,,1,1
erinnere,,,1,1
erinnern,,,2,1
erinnerung,,,1,1
erkannten,,,1,1
erkennungsdienstlich,,,2,1
erlagen,,,1,1
erlaubt,,,1,1
erlöst,,,1,1
ermutige,,,1,1
errichteten,,,1,1
ers,,,1,1
erschei,,,1,1
erschrecken,,,1,1
erst,,,5,2
erstarrten,,,1,1
erste,,,4,2
erstem,,,1,1
ersten,,,4,2
ertappt,,,1,1
erwarf,,,1,1
erwiesen,,,1,1
erwischt,,,1,1
erwähnen,,,1,1
erzeugen,,,3,2
erzeugt,,,2,1
erzählt,,,1,1
es,,,72,2
esel,,,1,1
esse,,,2,1
essen,,,1,1
esta,,,1,1
estland,,,1,1
etc,,,2,2
ethnischen,,,2,1
ethod,,,1,1
etwa,,,2,2
etwas,,,2,1
europa,,,1,1
eva,,,1,1
evening,,,1,1
ewig,,,2,1
example,,,1,1
exceeds,,,1,1
excellent,,,1,1
excuse,,,2,1
exist,,,1,1
existenz,,,2,1
existieren,,,1,1
exlaub,,,1,1
experience,,,1,1
explosionen,,,1,1
extent,,,1,1
extra,,,1,1
extraterrestrial,,,1,1
eye,,,1,1
eyelet,,,1,1
eyes,,,5,1
f,,,12,2
face,,,5,2
faces,,,1,1
fach,,,2,1
facher,,,1,1
fact,,,2,1
factory,,,1,1
fad,,,1,1
faden,,,13,2
fahnden,,,1,1
fahnen,,,1,1
fahren,,,3,2
fairchild,,,1,1
fala,,,1,1
fall,,,4,1
falle,,,1,1
fallen,,,2,2
falling,,,1,1
falls,,,3,2
fallt,,,3,1
falsch,,,1,1
falsche,,,4,1
falschem,,,1,1
falschen,,,2,1
falscher,,,1,1
false,,,1,1
falta,,,1,1
faltbrigaden,,,1,1
falten,,,4,2
faltenwürfe,,,1,1
falterhaft,,,1,1
falterndes,,,1,1
falteten,,,1,1
falz,,,1,1
family,,,2,2
fand,,,2,2
fanden,,,1,1
fang,,,1,1
fantom,,,1,1
farbe,,,1,1
farben,,,1,1
farbpaletten,,,1,1
fassen,,,1,1
fassenden,,,1,1
fassliche,,,1,1
fast,,,5,2
fate,,,1,1
faul,,,1,1
fauteuil,,,1,1
favus,,,2,1
februar,,,7,1
feder,,,1,1
federling,,,1,1
feet,,,2,1
fegert,,,1,1
fehlen,,,3,1
fehlentwürfe,,,1,1
fehlst,,,1,1
fehlt,,,6,2
fehlte,,,1,1
fehlten,,,1,1
feigen,,,1,1
feil,,,1,1
feine,,,1,1
feld,,,3,2
fell,,,1,1
fellen,,,1,1
felt,,,1,1
fenster,,,9,2
fenstergitter,,,1,1
fenstergroßen,,,2,1
fensterladen,,,1,1
feriendings,,,1,1
fern,,,3,1
ferne,,,2,2
ferner,,,1,1
fertig,,,1,1
fest,,,3,1
festländer,,,2,1
fetzen,,,1,1
feuchte,,,1,1
feuer,,,2,2
few,,,1,1
fibel,,,1,1
fichten,,,2,1
fichts,,,1,1
fiel,,,1,1
figuren,,,1,1
find,,,1,1
finde,,,3,2
finden,,,3,1
findes,,,1,1
findung,,,1,1
fingen,,,1,1
finger,,,7,2
fingerhut,,,1,1
fingern,,,2,1
firn,,,1,1
first,,,1,1
fisch,,,1,1
fische,,,2,2
fischen,,,1,1
fischersspunden,,,1,1
fischfrau,,,1,1
fischt,,,1,1
fish,,,1,1
